DTSMIN,TS,ROC_VOLTAGE,VGAPS,ROC_VOLTAGE_I,ROC_VOLTAGE_I_CLASS,ROC_VOLTAGE_IFILL,ROC_VOLTAGE_IFILL_CLASS,ROC_VOLTAGE_IFILL_ERR,FLOW,FGAPS,FLOW_I,FLOW_I_CLASS,PRESSURE_TH,PGAPS,PRESSURE_TH_I,PRESSURE_TH_I_CLASS
2016-06-29 05:31:00,2016-06-29 05:31:00,12.74337959,60.00000000000001,12.74337959,True,12.74337959,True,,,900.0,-0.001,False,1403.06970215,60.00000000000001,1403.06970215,True
2016-06-29 05:32:00,2016-06-29 05:32:00,12.7481699,60.00000000000001,12.7481699,True,12.7481699,True,,43.27589035,900.0,43.27589035,True,1403.27856445,60.00000000000001,1403.27856445,True
2016-06-29 05:33:00,2016-06-29 05:33:00,12.74610996,60.00000000000001,12.74610996,True,12.74610996,True,,,900.0,43.30617574,False,1402.4432373,60.00000000000001,1402.4432373,True
2016-06-29 05:34:00,2016-06-29 05:34:00,12.7411499,60.00000000000001,12.7411499,True,12.7411499,True,,,900.0,43.33646113,False,1402.86083984,60.00000000000001,1402.86083984,True
2016-06-29 05:35:00,2016-06-29 05:35:00,12.7403698,60.00000000000001,12.7403698,True,12.7403698,True,,,900.0,43.36674652,False,1402.64501953,60.00000000000001,1402.64501953,True
2016-06-29 05:36:00,2016-06-29 05:36:00,12.73867989,60.00000000000001,12.73867989,True,12.73867989,True,,,900.0,43.39703191,False,1402.86083984,60.00000000000001,1402.86083984,True
2016-06-29 05:37:00,2016-06-29 05:37:00,12.73785019,60.00000000000001,12.73785019,True,12.73785019,True,,,900.0,43.4273173,False,1401.92114258,60.00000000000001,1401.92114258,True
2016-06-29 05:38:00,2016-06-29 05:38:00,12.73785019,60.00000000000001,12.73785019,True,12.73785019,True,,,900.0,43.45760269,False,1400.35473633,60.00000000000001,1400.35473633,True
2016-06-29 05:39:00,2016-06-29 05:39:00,12.73206997,60.00000000000001,12.73206997,True,12.73206997,True,,,900.0,43.48788808,False,1401.60778809,60.00000000000001,1401.60778809,True
2016-06-29 05:40:00,2016-06-29 05:40:00,12.72999954,60.00000000000001,12.72999954,True,12.72999954,True,,,900.0,43.51817347,False,1402.85742188,60.00000000000001,1402.85742188,True
2016-06-29 05:41:00,2016-06-29 05:41:00,12.72912979,60.00000000000001,12.72912979,True,12.72912979,True,,,900.0,43.54845886,False,1406.51452637,60.00000000000001,1406.51452637,True
